,peak_heights,prominences,left_bases,right_bases,widths,width_heights,left_ips,right_ips,peak_locations,index
6,101344.42954976679,89506.38556414655,2273,2558,17.50428294452331,56591.23676769352,2312.212994847087,2329.7172777916103,2321,14
7,71747.49995336644,64695.41709635523,2558,3101,17.97317890066961,39399.79140518882,2846.775114779122,2864.7482936797915,2856,14
0,96294.70298944069,89086.31510420126,6,1329,19.47614169209652,51751.54543734006,182.166517058235,201.64265875033152,192,15
1,85528.96010802922,79057.71514649304,819,1329,19.789038658022037,46000.1025347827,1034.4393502493995,1054.2283889074215,1044,15
2,95883.67501568908,88877.48418911455,1329,1787,19.72816654813778,51444.9329211318,1567.1211180281325,1586.8492845762703,1577,15
3,97982.92106347186,90273.47791857681,1329,2010,19.828805769182736,52846.182104183456,1886.115537266562,1905.9443430357446,1896,15
4,84217.7296254724,73040.95413961665,2010,2157,18.71036580676946,47697.25255566408,2100.2867572381147,2118.997123044884,2110,15
5,128087.43396825776,121452.70132911477,1329,2543,20.441822180102918,67361.08330370038,2205.812074285252,2226.253896465355,2216,15
6,86857.44004240393,74534.65164555906,2275,2543,18.707030394467438,49590.1142196244,2311.594925695885,2330.3019560903526,2321,15
7,61217.69335754005,54148.710669653476,2543,3123,18.853376591017422,34143.33802271331,2846.5077975610734,2865.361174152091,2856,15
0,84868.43695540306,77655.46380148799,0,1305,21.187604799343887,46040.70505465906,181.1496202322523,202.33722503159618,192,16
1,74318.7798097408,67832.05966226065,816,1305,21.532634653480272,40402.74997861047,1033.647325817641,1055.1799604711214,1044,16
2,83989.41976010641,76911.54466977665,1305,1705,21.444914613435003,45533.647425218085,1566.2485246004715,1587.6934392139065,1577,16
3,86951.71405554423,79103.10730433644,1305,2014,21.49947524397362,47400.16040337601,1885.384558648541,1906.8840338925147,1896,16
4,73449.2707838308,61945.71152863062,2014,2157,20.132919777779534,42476.41501951549,2099.4568446036033,2119.589764381383,2110,16
5,114772.60730852708,108127.8308468159,1305,2602,22.37836476890834,60708.69188511913,2204.828236483942,2227.2066012528503,2216,16
6,74900.4862628469,62112.31080723355,2272,2602,20.08165269673691,43844.33085923012,2310.873885634388,2330.955538331125,2321,16
7,49017.01016597864,41946.52579834177,2602,3121,20.513062523241842,28043.747266807753,2845.931311225029,2866.4443737482707,2856,16
0,73634.61935069374,66344.66702626443,0,1304,23.399042865700636,40462.285837561525,180.07110346961375,203.47014633531438,192,17
1,64048.90456978173,57555.553753114655,815,1304,23.706429370837213,35271.1276932244,1032.6710109523456,1056.3774403231828,1044,17
2,73122.95456746151,66028.85488859525,1304,1707,23.53812644532718,40108.52712316388,1565.2039302330238,1588.742056678351,1577,17
3,74580.67158014115,66609.34544703127,1304,2010,23.4549725700233,41275.99885662551,1884.3683905290177,1907.823363099041,1896,17
4,63150.22435680554,51168.2738590003,2010,2157,21.848029972029508,37566.08742730539,2098.731163496522,2120.5791934685517,2110,17
5,101430.874286613,94778.33200833858,1304,2642,24.908691238329084,54041.70828244372,2203.3396905875425,2228.2483818258715,2216,17
6,65089.056215680605,51935.99105513979,2273,2642,21.884289434081893,39121.06068811071,2309.9027030847997,2331.7869925188816,2320,17
7,44315.32044148978,37226.86556047375,2642,3116,22.19158150081057,25701.887661252902,2844.983154730207,2867.1747362310175,2856,17
